date,enso,iod,pdo
2001-04-02,-0.674931,-0.615145,-1.619926
2001-04-09,-0.689241,-0.84201,-1.716786
2001-04-15,-0.721026,-0.942218,-1.86931
2001-04-22,-0.77041,-1.054205,-1.977519
2001-04-30,-0.744136,-1.242261,-1.891193
2001-05-07,-0.706647,-0.950283,-1.514542
2001-05-14,-0.63733,-0.992025,-1.428322
2001-05-20,-0.468387,-0.973384,-1.242857
2001-05-27,-0.411063,-0.891143,-1.185151
2001-06-03,-0.565831,-0.683156,-1.382968
2001-06-11,-0.486857,-0.75471,-1.500899
2001-06-18,-0.451,-0.702687,-1.432031
2001-06-25,-0.332262,-0.581062,-1.353184
2001-07-01,-0.44674,-0.979049,-1.47683
2001-07-08,-0.30912,-0.856081,-1.265734
2001-07-15,-0.178157,-0.619122,-1.247125
2001-07-23,-0.008542,-0.471313,-1.282493
2001-07-30,-0.067131,-0.590711,-1.399432
2001-08-05,-0.245817,-1.287705,-1.575064
2001-08-12,-0.260893,-1.330815,-1.592157
2001-08-19,-0.224464,-1.223008,-1.496147
2001-08-27,-0.146303,-0.967562,-1.408213
2001-09-03,-0.153181,-1.064131,-1.10921
2001-09-10,-0.133827,-0.899548,-0.882831
2001-09-16,-0.144071,-0.871888,-1.042483
2001-09-23,-0.200031,-0.879427,-1.05959
2001-09-30,-0.251228,-0.69538,-0.992124
2001-10-08,-0.265043,-1.066631,-1.242041
2001-10-15,-0.253236,-1.322206,-1.163097
2001-10-22,-0.22383,-1.223489,-1.306801
2001-10-28,-0.223571,-1.162137,-1.536777
2001-11-04,-0.159361,-0.886021,-1.493432
2001-11-12,-0.222026,-0.981762,-1.485329
2001-11-19,-0.301851,-1.300459,-1.205398
2001-11-26,-0.34691,-1.65991,-1.222035
2001-12-02,-0.29633,-1.620199,-1.33455
2001-12-16,0.116498,-0.994468,-1.796374
2001-12-24,0.2062,-0.772802,-1.59421
2001-12-31,0.359475,-0.360252,-0.888327
2002-01-07,0.449134,-0.163602,-0.667031
2002-01-13,0.471394,0.305382,-0.852792
2002-01-20,0.421535,0.263837,-1.33357
2002-01-27,0.341387,-0.024972,-1.714802
2002-02-04,0.40588,-0.653343,-1.519309
2002-02-11,0.302532,-0.829477,-1.197822
2002-02-17,0.264487,-0.631757,-1.037662
2002-02-24,0.238499,-0.539747,-1.081264
2002-03-03,0.419405,-0.410563,-0.830783
2002-03-11,0.327247,-0.163293,-1.158936
2002-03-18,0.262389,0.055634,-1.268861
2002-03-25,0.215278,0.038434,-0.961816
2002-03-31,0.230611,0.30349,-0.594247
2002-04-07,0.216479,0.016146,-0.810236
2002-04-14,0.19211,-0.332508,-0.773465
2002-04-22,0.185649,-0.391578,-0.670484
2002-04-29,0.1575,-0.448535,-0.70806
2002-05-06,0.059995,-0.31339,-0.74545
2002-05-12,0.08885,-0.84999,-0.742152
2002-05-19,0.149838,-1.04945,-0.696095
2002-05-27,0.297117,-1.240063,-0.687286
2002-06-03,0.240587,-0.850997,-0.668454
2002-06-10,0.229546,-0.730038,-0.791077
2002-06-16,0.193213,-0.660204,-0.81095
2002-06-23,0.179891,-0.819575,-0.717172
2002-06-30,0.033704,-1.059005,-0.800722
2002-07-08,0.197836,-1.081773,-0.638632
2002-07-15,0.394394,-1.020256,-0.597233
2002-07-22,0.610068,-1.017902,-0.508497
2002-07-28,0.733226,-0.818375,-0.395509
2002-08-04,0.650906,-1.109448,-0.557425
2002-08-11,0.726109,-1.025488,-0.583216
2002-08-19,0.852627,-0.754594,-0.410011
2002-08-26,0.918869,-0.554579,-0.405805
2002-09-02,1.030229,-0.634006,-0.324873
2002-09-08,1.144688,-0.675077,-0.2466
2002-09-15,1.309509,-0.458719,-0.270873
2002-09-23,1.375346,-0.129182,-0.117177
2002-09-30,1.406449,-0.194274,-0.221076
2002-10-07,1.542756,0.002851,-0.230202
2002-10-13,1.707804,-0.120968,-0.167728
2002-10-20,1.860126,-0.203298,0.085326
2002-10-27,1.884794,-0.195218,0.1884
2002-11-04,1.936842,0.186072,-0.035369
2002-11-11,1.836166,0.360555,-0.21684
2002-11-18,1.72275,0.289961,0.079343
2002-11-24,1.703804,0.045226,0.60267
2002-12-01,1.634282,-0.102992,0.885387
2002-12-08,1.709809,0.014167,0.43992
2002-12-16,1.723569,0.40037,-0.20318
2002-12-23,1.606394,0.650804,-0.354589
2002-12-29,1.438049,0.406993,0.006067
2003-01-05,1.338513,-0.147929,0.556558
2003-01-12,1.264463,0.06875,0.878282
2003-01-20,1.163903,0.416816,1.0732
2003-01-27,1.171892,0.631262,1.161822
2003-02-03,1.163522,0.356794,1.417196
2003-02-09,1.07306,0.311941,1.275974
2003-02-16,1.007221,0.364767,0.687199
2003-02-23,0.870604,0.35011,0.475308
2003-03-03,0.925833,0.220662,0.885615
2003-03-10,0.860793,0.109522,0.570873
2003-03-17,0.689161,0.215794,0.31809
2003-03-23,0.526314,0.396023,0.466374
2003-03-30,0.398,0.383835,0.605273
2003-04-07,0.478941,0.886609,0.475466
2003-04-14,0.437646,0.59713,0.344863
2003-04-21,0.466736,0.341915,0.306905
2003-04-27,0.360894,0.150617,0.419772
2003-05-04,0.279227,0.273418,0.47267
2003-05-11,0.182236,-0.418937,0.392905
2003-05-19,0.080337,-0.806272,0.56847
2003-05-26,0.17292,-0.853333,0.522679
2003-06-02,0.098465,-0.321566,0.627561
2003-06-08,0.284512,0.274864,0.919556
2003-06-15,0.43091,0.638542,0.682537
2003-06-22,0.496612,0.940499,0.555788
2003-06-30,0.510263,0.901015,0.723822
2003-07-07,0.383146,0.527614,0.624312
2003-07-13,0.409082,0.535891,0.612148
2003-07-20,0.413686,0.68903,0.755378
2003-07-27,0.484937,0.604076,0.98816
2003-08-04,0.42954,0.133499,1.057022
2003-08-11,0.485847,0.079227,1.01161
2003-08-18,0.445263,-0.166756,0.716225
2003-08-24,0.408909,-0.263877,0.791114
2003-08-31,0.373947,-0.513191,0.94059
2003-09-07,0.306558,-0.301675,0.692793
2003-09-15,0.277986,-0.130489,0.791664
2003-09-22,0.295972,-0.131552,0.823048
2003-09-29,0.346617,-0.1556,0.998397
2003-10-05,0.373785,-0.346733,0.941044
2003-10-12,0.319653,-0.651447,0.937079
2003-10-19,0.379984,-0.832659,1.097905
2003-10-27,0.404753,-0.79804,1.448462
2003-11-03,0.444932,-0.508862,1.17677
2003-11-09,0.523566,-0.480616,0.734866
2003-11-16,0.609033,-0.604982,0.560073
2003-12-01,0.649454,-0.951372,0.178541
2003-12-08,0.500239,-0.89689,-0.009952
2003-12-15,0.34614,-0.746417,0.289109
2003-12-21,0.328976,-0.539198,0.572016
2003-12-28,0.365821,-0.326143,0.693522
2004-01-04,0.558582,-0.408948,0.990373
2004-01-11,0.720198,0.070002,1.309541
2004-01-18,0.803595,0.480292,1.263438
2004-01-25,0.676843,0.720901,0.832905
2004-02-01,0.609995,0.560304,0.484722
2004-02-08,0.438524,0.534011,0.642435
2004-02-15,0.442473,0.430632,0.882331
